userId,name,email,active,score
u001,Alan Turing,user001@example.com,true,71.25
u002,Grace Hopper,user002@example.com,true,72.50
u003,Katherine Johnson,user003@example.com,false,73.75
u004,Dorothy Vaughan,user004@example.com,true,74.00
u005,Edsger Dijkstra,user005@example.com,true,75.25
u006,Barbara Liskov,user006@example.com,false,76.50
u007,Donald Knuth,user007@example.com,true,77.75
u008,Margaret Hamilton,user008@example.com,true,78.00
u009,Ken Thompson,user009@example.com,false,79.25
u010,Dennis Ritchie,user010@example.com,true,80.50
u011,Radia Perlman,user011@example.com,true,81.75
u012,Leslie Lamport,user012@example.com,false,82.00
u013,Frances Allen,user013@example.com,true,83.25
u014,Tim BernersLee,user014@example.com,true,84.50
u015,Linus Torvalds,user015@example.com,false,85.75
u016,Guido Rossum,user016@example.com,true,86.00
u017,Brendan Eich,user017@example.com,true,87.25
u018,Anita Borg,user018@example.com,false,88.50
u019,Mary Jackson,user019@example.com,true,89.75
u020,Ada Lovelace,user020@example.com,true,90.00
u021,Alan Turing,user021@example.com,false,91.25
u022,Grace Hopper,user022@example.com,true,92.50
u023,Katherine Johnson,user023@example.com,true,93.75
u024,Dorothy Vaughan,user024@example.com,false,94.00
u025,Edsger Dijkstra,user025@example.com,true,95.25
u026,Barbara Liskov,user026@example.com,true,96.50
u027,Donald Knuth,user027@example.com,false,97.75
u028,Margaret Hamilton,user028@example.com,true,98.00
u029,Ken Thompson,user029@example.com,true,99.25
u030,Dennis Ritchie,user030@example.com,false,100.50
u031,Radia Perlman,user031@example.com,true,70.75
u032,Leslie Lamport,user032@example.com,true,71.00
u033,Frances Allen,user033@example.com,false,72.25
u034,Tim BernersLee,user034@example.com,true,73.50
u035,Linus Torvalds,user035@example.com,true,74.75
u036,Guido Rossum,user036@example.com,false,75.00
u037,Brendan Eich,user037@example.com,true,76.25
u038,Anita Borg,user038@example.com,true,77.50
u039,Mary Jackson,user039@example.com,false,78.75
u040,Ada Lovelace,user040@example.com,true,79.00
u041,Alan Turing,user041@example.com,true,80.25
u042,Grace Hopper,user042@example.com,false,81.50
u043,Katherine Johnson,user043@example.com,true,82.75
u044,Dorothy Vaughan,user044@example.com,true,83.00
u045,Edsger Dijkstra,user045@example.com,false,84.25
u046,Barbara Liskov,user046@example.com,true,85.50
u047,Donald Knuth,user047@example.com,true,86.75
u048,Margaret Hamilton,user048@example.com,false,87.00
u049,Ken Thompson,user049@example.com,true,88.25
u050,Dennis Ritchie,user050@example.com,true,89.50
u051,Radia Perlman,user051@example.com,false,90.75
u052,Leslie Lamport,user052@example.com,true,91.00
u053,Frances Allen,user053@example.com,true,92.25
u054,Tim BernersLee,user054@example.com,false,93.50
u055,Linus Torvalds,user055@example.com,true,94.75
u056,Guido Rossum,user056@example.com,true,95.00
u057,Brendan Eich,user057@example.com,false,96.25
u058,Anita Borg,user058@example.com,true,97.50
u059,Mary Jackson,user059@example.com,true,98.75
u060,Ada Lovelace,user060@example.com,false,99.00
u061,Alan Turing,user061@example.com,true,100.25
u062,Grace Hopper,user062@example.com,true,70.50
u063,Katherine Johnson,user063@example.com,false,71.75
u064,Dorothy Vaughan,user064@example.com,true,72.00
u065,Edsger Dijkstra,user065@example.com,true,73.25
u066,Barbara Liskov,user066@example.com,false,74.50
u067,Donald Knuth,user067@example.com,true,75.75
u068,Margaret Hamilton,user068@example.com,true,76.00
u069,Ken Thompson,user069@example.com,false,77.25
u070,Dennis Ritchie,user070@example.com,true,78.50
u071,Radia Perlman,user071@example.com,true,79.75
